gene,logFC,logCPM,F,PValue,FDR,direction,treat1,treat2
gene18847|HSPB1,-2.152006652364474,5.873044329442279,140.9403036040314,7.926317043107637e-13,1.0397170741508817e-8,Downregulated,AH,HA
gene1993|RRM2,-2.012127842684406,4.993650754032248,133.6995810389081,1.5190036765409613e-12,1.0397170741508817e-8,Downregulated,AH,HA
gene10944|FAM89A,2.1254396876586754,4.912780065778509,130.65043711564255,2.0151666517280767e-12,1.0397170741508817e-8,Upregulated,AH,HA
gene27056|LOC113246261,-2.158614995329035,4.726466428032799,127.61303478603423,2.685046353285252e-12,1.0397170741508817e-8,Downregulated,AH,HA
gene24273|RBP4,1.8021176363811673,6.002957715937659,105.9393643123649,2.4876189490317857e-11,7.706145980310667e-8,Upregulated,AH,HA
gene9412|MCM2,-1.926584277675277,4.013256900195177,102.1927506828382,3.7898698284513765e-11,9.783548962147228e-8,Downregulated,AH,HA
gene24989|CCND1,-2.831954368684578,2.866908239462445,96.91745042084776,7.00111857816484e-11,1.5097821999560855e-7,Downregulated,AH,HA
gene8354|AMDHD1,3.2347943064965174,2.135388045156084,96.01320255738825,7.7979582927553e-11,1.5097821999560855e-7,Upregulated,AH,HA
gene12825|HTR1B,-2.872772254937897,4.2028914422852255,94.37240438246955,9.501720468863916e-11,1.63524609269148e-7,Downregulated,AH,HA
gene25966|DUSP18,-2.176388018938699,3.8386536248933223,84.5494549809772,3.28781462445614e-10,5.092496071820115e-7,Downregulated,AH,HA
gene20740|SCARA3,-2.359457354742636,2.8936165186196656,80.99921030899192,5.289165063686061e-10,6.464480029594848e-7,Downregulated,AH,HA
gene6358|OXNAD1,1.9994023988559209,5.5680736770568755,80.95757680238016,5.319222048799144e-10,6.464480029594848e-7,Upregulated,AH,HA
gene21072|LTBP2,-3.3819435091273626,2.6785893699302523,80.81212045119264,5.425672437519079e-10,6.464480029594848e-7,Downregulated,AH,HA
gene8273|CHST11,-2.074976926692786,2.366911835605521,78.72645090990487,7.22977005855662e-10,7.998707745498821e-7,Downregulated,AH,HA
gene15467|ADAM19,-2.0921029649407323,5.767176479880616,77.245945784685,8.89420098157627e-10,8.68736395061474e-7,Downregulated,AH,HA
gene9036|CISH,-2.3354361978093325,2.2447433434097857,77.18260827932762,8.973970121365862e-10,8.68736395061474e-7,Downregulated,AH,HA
gene7196|GPBP1L1,0.8427787669555857,6.222411754923761,75.35597491890816,1.1636724014714134e-9,1.0602424603759248e-6,Upregulated,AH,HA
gene12217|TDRD7,-1.8834013170226502,3.507580810055853,73.47657237150965,1.5276902487198857e-9,1.278980995408717e-6,Downregulated,AH,HA
gene3066|DOCK10,-1.2036075588383117,4.5505169719093495,73.29463158401487,1.5688965661285832e-9,1.278980995408717e-6,Downregulated,AH,HA
gene628|LOC113252436,-2.6939379664591385,1.740659456997861,71.62255726130286,2.0081946588952167e-9,1.5552463535814007e-6,Downregulated,AH,HA
gene7167|LOC113254711,2.680811047951684,2.8172818748012727,71.21040587769389,2.135544776601071e-9,1.5751168116559043e-6,Upregulated,AH,HA
gene14376|KIAA0040,-2.7985702440626583,0.7627170748234743,69.22329948251318,2.8828825488849087e-9,2.029680354530834e-6,Downregulated,AH,HA
gene8347|ELK3,-1.6601718720673755,4.080591337491214,68.90265424953513,3.0276426663236237e-9,2.038919880812461e-6,Downregulated,AH,HA
gene4011|TSC22D1,1.4026025317043522,7.828710619275676,68.3673558983633,3.2868791453623034e-9,2.1212696284381967e-6,Upregulated,AH,HA
gene23693|CSRP1,-1.2858636677394362,7.541241139155178,66.00544428081731,4.7491359158508364e-9,2.7971668816137094e-6,Downregulated,AH,HA
gene2470|ACTG2,-1.8556832846353881,9.386859837350865,65.87269623574296,4.84971782908214e-9,2.7971668816137094e-6,Downregulated,AH,HA
gene13346|LOC113261475,-2.381656362266154,2.3697283653342427,65.83856496628945,4.875944593167419e-9,2.7971668816137094e-6,Downregulated,AH,HA
gene2941|LRRFIP1,-1.3206722325096416,6.375764647793199,64.5201918587117,6.014389697475107e-9,3.2818909114467595e-6,Downregulated,AH,HA
gene30693|ND3,-1.3172122205387462,7.090655440995767,64.38659625809335,6.1446727633776245e-9,3.2818909114467595e-6,Downregulated,AH,HA
gene16977|NXPH3,-2.49352322373463,1.0139920677802237,63.0095884578066,7.67755398647082e-9,3.8543307760007246e-6,Downregulated,AH,HA
gene9198|EOGT,-1.7297938294483395,3.2706812571662303,62.980423367964235,7.714136100201593e-9,3.8543307760007246e-6,Downregulated,AH,HA
gene9511|ZNF740,0.9179895832800943,5.771834174819463,62.649616390092085,8.142345959399114e-9,3.941149892660402e-6,Upregulated,AH,HA
gene14091|RASL11B,1.5128201160542483,4.029862326620351,62.16581036669485,8.814909881898e-9,4.1373981563853975e-6,Upregulated,AH,HA
gene10013|PEX5,1.0185728432462469,5.354413461151785,61.95540931361807,9.125685344221225e-9,4.1572864793130165e-6,Upregulated,AH,HA
gene19847|LOC113268978,-3.331761625896263,2.63590038011392,61.7605450453124,9.599500579383297e-9,4.1634666715771995e-6,Downregulated,AH,HA
gene18173|VSIG10,1.1795386760627553,7.101817912150949,61.60041551366148,9.676854553346192e-9,4.1634666715771995e-6,Upregulated,AH,HA
gene21323|GPR153,-1.794100287191484,3.91515257073732,59.433560448858216,1.3912895127397714e-8,5.824238719682789e-6,Downregulated,AH,HA
gene12957|MCM3,-1.417039117420617,5.152938852521224,58.87861404617504,1.5290815280970677e-8,6.232616786498811e-6,Downregulated,AH,HA
gene23944|UHRF1,-1.7699345507134612,4.1195057268380175,57.53058407578473,1.9282318445752745e-8,7.658046933493955e-6,Downregulated,AH,HA
gene19244|CLSPN,-2.090881818511791,2.5614746861795243,56.37019638951065,2.3612858669093165e-8,9.143489198139602e-6,Downregulated,AH,HA
gene22731|CHPF2,-1.0780409498036228,4.849491064991711,56.085428571366734,2.4827162397597047e-8,9.205964748164e-6,Downregulated,AH,HA
gene10280|CUNH20orf194,0.8083626168008977,6.6120528386251625,56.05452185516975,2.4962910415319777e-8,9.205964748164e-6,Upregulated,AH,HA
gene26402|LOC113245493,-2.2202744951251208,0.5843414244772785,55.91001956656781,2.5608188392829698e-8,9.224307674803238e-6,Downregulated,AH,HA
gene19207|FHL3,-1.9352412629158213,2.659585079155965,54.42668894343192,3.336356856907427e-8,1.1603361396701526e-5,Downregulated,AH,HA
gene4360|MARVELD1,-1.0960997202546758,5.714454564573962,54.34740634206454,3.3843219054271255e-8,1.1603361396701526e-5,Downregulated,AH,HA
