gene,logFC,logCPM,F,PValue,FDR,direction,treat1,treat2
gene1993|RRM2,-4.223351325133093,4.993650754032248,483.056898644515,5.625232847953776e-20,8.712923158195604e-16,Downregulated,AH,HH
gene2470|ACTG2,-5.6690933666902925,9.386859837350865,457.3985110523867,1.2110923893642679e-19,9.379305009431573e-16,Downregulated,AH,HH
gene7936|CCNA2,-4.761544417009594,4.129555208441915,320.0883669312041,1.7072561464414995e-17,8.814563484077462e-14,Downregulated,AH,HH
gene23944|UHRF1,-4.794342281043352,4.1195057268380175,304.7286293248222,3.3409781975049385e-17,9.287940781828075e-14,Downregulated,AH,HH
gene22433|MCM10,-4.571811366965449,3.323651452235588,302.9635648533289,3.616070874898338e-17,9.287940781828075e-14,Downregulated,AH,HH
gene10851|ACTA2,-5.021238020227139,10.13742317156108,301.5090865774806,3.860924147181384e-17,9.287940781828075e-14,Downregulated,AH,HH
gene25560|TK1,-5.8937583558867646,3.40519982736818,299.66267902095626,4.197532795712862e-17,9.287940781828075e-14,Downregulated,AH,HH
gene12236|MELK,-4.434574472480448,3.5523660270661925,291.53101451219766,6.100157614853884e-17,1.1810667662058976e-13,Downregulated,AH,HH
gene1566|ANLN,-4.296687184472918,5.632018361460184,287.1729035609367,7.482641215976661e-17,1.2877625532695834e-13,Downregulated,AH,HH
gene9412|MCM2,-3.3358954357549333,4.013256900195177,266.5023378054221,2.0522023890160838e-16,3.081897363425051e-13,Downregulated,AH,HH
gene20738|ESCO2,-5.055308206463044,3.7086689055156916,263.6810201516819,2.368061856334174e-16,3.081897363425051e-13,Downregulated,AH,HH
gene13346|LOC113261475,-6.323381157139629,2.3697283653342427,260.7261440507135,2.7552160741933557e-16,3.081897363425051e-13,Downregulated,AH,HH
gene7227|KIF2C,-4.4207167140322055,3.7797443448592745,260.6770081216454,2.762198473022707e-16,3.081897363425051e-13,Downregulated,AH,HH
gene16848|TOP2A,-3.842164078377671,6.7294072646666105,260.51310822632234,2.7856261274421014e-16,3.081897363425051e-13,Downregulated,AH,HH
gene7118|ORC1,-2.9351788951807305,3.0836104192372833,256.12497968104384,3.498696580229829e-16,3.5177665892057566e-13,Downregulated,AH,HH
gene27598|LOC113246839,-3.707959275442598,2.802577901601954,255.40187673352924,3.633821772050623e-16,3.5177665892057566e-13,Downregulated,AH,HH
gene15649|LOC113264263,-4.962268288720744,5.557920592259605,252.81873582598456,4.3964234725557515e-16,4.0056590097891785e-13,Downregulated,AH,HH
gene2337|CKAP2L,-4.6387910879737655,3.759202111605775,248.3210189522109,5.293821787109977e-16,4.555333647808135e-13,Downregulated,AH,HH
gene11919|TAGLN,-2.8170995802192427,10.288404776743288,247.0837616654333,5.659131833509178e-16,4.613383840485456e-13,Downregulated,AH,HH
gene15242|PRC1,-3.5434574235502705,5.962324675520524,244.10592240814424,6.653295603814544e-16,4.99322062030159e-13,Downregulated,AH,HH
gene7561|LOC113255187,-2.697390203326505,5.064631309821563,243.78839865577726,6.769812965739131e-16,4.99322062030159e-13,Downregulated,AH,HH
gene18184|CIT,-3.4016515067021875,3.4536369296856106,242.53647248908243,7.250876508827611e-16,5.104946647510494e-13,Downregulated,AH,HH
gene2208|LTBP1,-3.291221193411375,7.4076710133463415,238.70090303917607,8.965952425743425e-16,5.917715308593403e-13,Downregulated,AH,HH
gene5021|CENPT,-4.751339590748256,2.7349460534849612,238.29869419528123,9.169421357495104e-16,5.917715308593403e-13,Downregulated,AH,HH
gene19244|CLSPN,-5.339601807258496,2.5614746861795243,235.96122286837488,1.045372309986152e-15,6.395020966334868e-13,Downregulated,AH,HH
gene9611|LOC113257657,-2.3549084176377,9.899993734565447,235.49067586991586,1.073475015331568e-15,6.395020966334868e-13,Downregulated,AH,HH
gene18173|VSIG10,2.3960057504299734,7.101817912150949,234.51320311666396,1.1344628554813836e-15,6.508035247611536e-13,Upregulated,AH,HH
gene12793|TTK,-4.0743549584081835,4.377569981305618,233.61108179301237,1.1940372096287067e-15,6.605157978549657e-13,Downregulated,AH,HH
gene27621|LOC113246864,-3.9719547638152006,2.1905621773687094,231.43115216550618,1.3522183793803417e-15,7.076823399494193e-13,Downregulated,AH,HH
gene26978|MLLT11,-3.504497364343828,4.743759221233838,231.19462803798453,1.370680495737787e-15,7.076823399494193e-13,Downregulated,AH,HH
gene24157|CNN1,-5.459999282010395,5.973403618732188,231.53827064226428,1.5870442627963353e-15,7.92958986659756e-13,Downregulated,AH,HH
gene10889|ZWINT,-3.3788481703756372,3.018262246779534,226.01736715310702,1.8501616974328385e-15,8.955360791105386e-13,Downregulated,AH,HH
gene6965|DEPDC1,-5.333463277269654,3.1631856558494857,221.73578789323378,2.3821114355269454e-15,1.118076485602329e-12,Downregulated,AH,HH
gene18307|CKB,-3.901257996032225,5.016885029635016,217.06656899295731,3.153633644494797e-15,1.4134264280751131e-12,Downregulated,AH,HH
gene19158|MCM4,-2.195730829520795,6.010696058839551,216.03610576215561,3.3574864503802928e-15,1.4134264280751131e-12,Downregulated,AH,HH
gene23201|KNL1,-3.962664794129705,5.005877436264516,215.9753015046846,3.3699465126370552e-15,1.4134264280751131e-12,Downregulated,AH,HH
gene20128|LOC113269236,-4.277465104385207,3.6427211948032325,215.78579708551425,3.4090974853936568e-15,1.4134264280751131e-12,Downregulated,AH,HH
gene19215|CDCA8,-3.5020224725158595,3.3314010212700964,215.50674231672886,3.4676353713509134e-15,1.4134264280751131e-12,Downregulated,AH,HH
gene12957|MCM3,-2.8314815759833194,5.152938852521224,212.98987669282033,4.0467487710880324e-15,1.5838318165586242e-12,Downregulated,AH,HH
gene29204|MASTL,-4.049350807514095,2.6670047564530717,212.81674744822334,4.090210643834009e-15,1.5838318165586242e-12,Downregulated,AH,HH
gene27056|LOC113246261,-2.898809603885065,4.726466428032799,211.95965669803817,4.3128333198058855e-15,1.629304275377399e-12,Downregulated,AH,HH
gene24828|KIFC1,-2.692899271061696,3.7970275699640816,211.18374901801633,4.525539318121613e-15,1.6689542499615635e-12,Downregulated,AH,HH
