gene,logFC,logCPM,F,PValue,FDR,direction,treat1,treat2
gene18847|HSPB1,-1.9461782773346414,5.873044329442279,118.17926206779559,6.794190875451236e-12,1.0523522246986418e-7,Downregulated,AH,HG
gene8354|AMDHD1,3.2024710988583944,2.135388045156084,93.98855506727638,9.955085971255094e-11,7.709716330438507e-7,Upregulated,AH,HG
gene21072|LTBP2,-3.5660684640517024,2.6785893699302523,87.81359353223748,2.15141785642004e-10,1.1107770392696665e-6,Downregulated,AH,HG
gene20740|SCARA3,-2.31502906622977,2.8936165186196656,80.2244525791401,5.879472321665571e-10,2.2766786697569507e-6,Downregulated,AH,HG
gene27056|LOC113246261,-1.6488952933264474,4.726466428032799,77.2305174257226,8.913561943144092e-10,2.761243218747177e-6,Downregulated,AH,HG
gene12217|TDRD7,-1.869122106892878,3.507580810055853,73.36831830754903,1.552066671746623e-9,3.984427726800584e-6,Downregulated,AH,HG
gene10944|FAM89A,1.5471993083104876,4.912780065778509,72.09288710342592,1.8726996803315362e-9,3.984427726800584e-6,Upregulated,AH,HG
gene18173|VSIG10,1.2764644020394567,7.101817912150949,71.45833174577794,2.057939299787247e-9,3.984427726800584e-6,Upregulated,AH,HG
gene24989|CCND1,-2.256050428069386,2.866908239462445,65.8808374255264,4.843484336821631e-9,8.335636543670027e-6,Downregulated,AH,HG
gene23758|LOC113242609,-6.088979308161295,-0.01554015800270897,64.94002317932369,5.623807646079632e-9,8.710715663012743e-6,Downregulated,AH,HG
gene25966|DUSP18,-1.854807437124165,3.8386536248933223,63.525174865949744,7.060517700814002e-9,9.941850787991643e-6,Downregulated,AH,HG
gene16977|NXPH3,-2.4445223778912797,1.0139920677802237,62.20218901374647,8.762331624381144e-9,1.1309979544169962e-5,Downregulated,AH,HG
gene8662|RDH16,2.41272693443788,4.724709835821099,61.432669091946885,1.0133922246896641e-8,1.2074178590937083e-5,Upregulated,AH,HG
gene7102|PODN,-1.5218714977170666,4.640492855088512,57.60786473619927,1.902575039347251e-8,1.879748515276208e-5,Downregulated,AH,HG
gene1993|RRM2,-1.2885939588193076,4.993650754032248,57.51536931095205,1.9333264520203782e-8,1.879748515276208e-5,Downregulated,AH,HG
gene24273|RBP4,1.2994669925682762,6.002957715937659,57.26480460368896,2.019326762337e-8,1.879748515276208e-5,Upregulated,AH,HG
gene8273|CHST11,-1.7466120098367384,2.366911835605521,57.141543072715734,2.063123814300183e-8,1.879748515276208e-5,Downregulated,AH,HG
gene21188|FBLIM1,-1.5939048496424566,4.425950877617668,56.110668066275075,2.4716890430706877e-8,2.1268884215623267e-5,Downregulated,AH,HG
gene19847|LOC113268978,-3.1083767731965017,2.63590038011392,55.70908477850848,2.698062436073799e-8,2.1994888985445828e-5,Downregulated,AH,HG
