gene,logFC,logCPM,F,PValue,FDR,direction,treat1,treat2
gene15242|PRC1,-4.037786365160414,5.962324675520524,322.61948804177433,1.5328008271786457e-17,1.6001693643311458e-13,Downregulated,HA,HH
gene7227|KIF2C,-4.789183405407817,3.7797443448592745,315.6521061648761,2.066200999846531e-17,1.6001693643311458e-13,Downregulated,HA,HH
gene16848|TOP2A,-3.907754569941503,6.7294072646666105,282.01734829709386,9.563035003781824e-17,4.2583957896402427e-13,Downregulated,HA,HH
gene24273|RBP4,-2.8355872717400645,6.002957715937659,278.54884979633596,1.1305051476964484e-16,4.2583957896402427e-13,Downregulated,HA,HH
gene887|ECT2,-3.3063619646186,4.6935820210394414,274.5450612020997,1.3746516203887412e-16,4.2583957896402427e-13,Downregulated,HA,HH
gene12236|MELK,-4.157343432713875,3.5523660270661925,268.98787366972687,1.8110785248127475e-16,4.675299211804108e-13,Downregulated,HA,HH
gene1566|ANLN,-3.9162786704078028,5.632018361460184,256.5998733745133,3.412877750440984e-16,5.673404138202533e-13,Downregulated,HA,HH
gene7936|CCNA2,-4.1255738294017075,4.129555208441915,255.8909472300512,3.5418333723272176e-16,5.673404138202533e-13,Downregulated,HA,HH
gene19215|CDCA8,-3.7355591709729032,3.3314010212700964,255.6930435716188,3.578753837892144e-16,5.673404138202533e-13,Downregulated,HA,HH
gene2470|ACTG2,-3.813410082054904,9.386859837350865,255.21833357792687,3.6689991304096015e-16,5.673404138202533e-13,Downregulated,HA,HH
gene12793|TTK,-4.1665574290965885,4.377569981305618,253.44058836361023,4.0291462018353587e-16,5.673404138202533e-13,Downregulated,HA,HH
gene23180|NUSAP1,-4.821074543823792,4.6184536308875765,243.80341241100479,6.764254808095188e-16,8.730961893548863e-13,Downregulated,HA,HH
gene18184|CIT,-3.2967709366427127,3.4536369296856106,239.07627309191219,8.780402999908545e-16,1.0461512466583344e-12,Downregulated,HA,HH
gene6965|DEPDC1,-5.402435080179485,3.1631856558494857,236.0332659435285,1.0411394112766543e-15,1.1518720243760071e-12,Downregulated,HA,HH
gene2337|CKAP2L,-4.35699902847507,3.759202111605775,229.43821344771607,1.5164881207240113e-15,1.565925633459614e-12,Downregulated,HA,HH
gene20738|ESCO2,-4.584885255575024,3.7086689055156916,227.48649292374216,1.6981475769136805e-15,1.643912988676e-12,Downregulated,HA,HH
gene20737|PBK,-4.273086961975402,4.340576893990756,224.61404357515684,2.008988012381685e-15,1.8304244308105834e-12,Downregulated,HA,HH
