gene,logFC,logCPM,F,PValue,FDR,direction,treat1,treat2
gene15242|PRC1,-4.10428115507231,5.962324675520524,332.8440607305441,9.994344870393835e-18,5.881230957482938e-14,Downregulated,HG,HH
gene7936|CCNA2,-4.696808121815448,4.129555208441915,325.69875093445506,1.3458216860398616e-17,5.881230957482938e-14,Downregulated,HG,HH
gene16848|TOP2A,-4.239041805026687,6.7294072646666105,323.34314345581004,1.4864959768615686e-17,5.881230957482938e-14,Downregulated,HG,HH
gene7227|KIF2C,-4.8408028645997305,3.7797443448592745,322.8355749753731,1.5188148899174738e-17,5.881230957482938e-14,Downregulated,HG,HH
gene2470|ACTG2,-4.322107527255575,9.386859837350865,311.71343882380194,2.4527344837188833e-17,6.356834673770349e-14,Downregulated,HG,HH
gene1566|ANLN,-4.360765573129026,5.632018361460184,309.65314933490555,2.685056529051028e-17,6.356834673770349e-14,Downregulated,HG,HH
gene18184|CIT,-3.764867295619469,3.4536369296856106,308.12210343962215,2.872867371450219e-17,6.356834673770349e-14,Downregulated,HG,HH
gene887|ECT2,-3.4301170445983447,4.6935820210394414,294.51903379980683,5.3114334033723215e-17,1.0283598998104236e-13,Downregulated,HG,HH
gene19215|CDCA8,-3.873716845230683,3.3314010212700964,275.79572210341473,1.2928447748265224e-16,2.2179823244609609e-13,Downregulated,HG,HH
gene12236|MELK,-4.179878997905705,3.5523660270661925,273.71517582901663,1.4319725769649176e-16,2.2179823244609609e-13,Downregulated,HG,HH
gene2307|BUB1,-4.445398178978811,4.368417068904668,270.17545642561987,1.7067144277795702e-16,2.4032090701707057e-13,Downregulated,HG,HH
gene1993|RRM2,-2.934757366313785,4.993650754032248,265.1334900660336,2.199432660690935e-16,2.7816501643490687e-13,Downregulated,HG,HH
gene23201|KNL1,-4.313515462783858,5.005877436264516,263.9598220263898,2.334653763092381e-16,2.7816501643490687e-13,Downregulated,HG,HH
gene26490|KIF4A,-3.284602349147669,4.662713969000398,246.90855569402024,5.712999662085564e-16,6.320617983288808e-13,Downregulated,HG,HH
gene2337|CKAP2L,-4.48060702330196,3.759202111605775,242.61526255211513,7.219549830177451e-16,7.454907154641236e-13,Downregulated,HG,HH
gene23217|BUB1B,-3.6232194462646623,4.527338338227561,236.36807295325698,1.0217063941821972e-15,9.815402868563925e-13,Downregulated,HG,HH
