yourlist:M202205245BF3C56A578D7D6DFD1FC81EE5DA77304E151FU	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
MARC1_HUMAN	Q5VT66	MARC1_HUMAN	reviewed	Mitochondrial amidoxime-reducing component 1 (mARC1) (EC 1.7.-.-) (Molybdenum cofactor sulfurase C-terminal domain-containing protein 1) (MOSC domain-containing protein 1) (Moco sulfurase C-terminal domain-containing protein 1)	MTARC1 MARC1 MOSC1	Homo sapiens (Human)	337
MARH1_HUMAN	Q8TCQ1	MARH1_HUMAN	reviewed	E3 ubiquitin-protein ligase MARCHF1 (EC 2.3.2.27) (Membrane-associated RING finger protein 1) (Membrane-associated RING-CH protein I) (MARCH-I) (RING finger protein 171) (RING-type E3 ubiquitin transferase MARCHF1)	MARCHF1 MARCH1 RNF171	Homo sapiens (Human)	289
MARH2_HUMAN	Q9P0N8	MARH2_HUMAN	reviewed	E3 ubiquitin-protein ligase MARCHF2 (EC 2.3.2.27) (Membrane-associated RING finger protein 2) (Membrane-associated RING-CH protein II) (MARCH-II) (RING finger protein 172) (RING-type E3 ubiquitin transferase MARCHF2)	MARCHF2 MARCH2 RNF172 HSPC240	Homo sapiens (Human)	246
MARH3_HUMAN	Q86UD3	MARH3_HUMAN	reviewed	E3 ubiquitin-protein ligase MARCHF3 (EC 2.3.2.27) (Membrane-associated RING finger protein 3) (Membrane-associated RING-CH protein III) (MARCH-III) (RING finger protein 173) (RING-type E3 ubiquitin transferase MARCHF3)	MARCHF3 MARCH3 RNF173	Homo sapiens (Human)	253
MARH4_HUMAN	Q9P2E8	MARH4_HUMAN	reviewed	E3 ubiquitin-protein ligase MARCHF4 (EC 2.3.2.27) (Membrane-associated RING finger protein 4) (Membrane-associated RING-CH protein IV) (MARCH-IV) (RING finger protein 174) (RING-type E3 ubiquitin transferase MARCHF4)	MARCHF4 KIAA1399 MARCH4 RNF174	Homo sapiens (Human)	410
MARH5_HUMAN	Q9NX47	MARH5_HUMAN	reviewed	E3 ubiquitin-protein ligase MARCHF5 (EC 2.3.2.27) (Membrane-associated RING finger protein 5) (Membrane-associated RING-CH protein V) (MARCH-V) (Mitochondrial ubiquitin ligase) (MITOL) (RING finger protein 153) (RING-type E3 ubiquitin transferase MARCHF5)	MARCHF5 MARCH5 RNF153	Homo sapiens (Human)	278
MARH6_HUMAN	O60337	MARH6_HUMAN	reviewed	E3 ubiquitin-protein ligase MARCHF6 (EC 2.3.2.27) (Doa10 homolog) (Membrane-associated RING finger protein 6) (Membrane-associated RING-CH protein VI) (MARCH-VI) (Protein TEB-4) (RING finger protein 176) (RING-type E3 ubiquitin transferase MARCHF6)	MARCHF6 KIAA0597 MARCH6 RNF176 TEB4	Homo sapiens (Human)	910
MARH7_HUMAN	Q9H992	MARH7_HUMAN	reviewed	E3 ubiquitin-protein ligase MARCHF7 (EC 2.3.2.27) (Axotrophin) (Membrane-associated RING finger protein 7) (Membrane-associated RING-CH protein VII) (MARCH-VII) (RING finger protein 177) (RING-type E3 ubiquitin transferase MARCHF7)	MARCHF7 AXOT MARCH7 RNF177	Homo sapiens (Human)	704
MARH8_HUMAN	Q5T0T0	MARH8_HUMAN	reviewed	E3 ubiquitin-protein ligase MARCHF8 (EC 2.3.2.27) (Cellular modulator of immune recognition) (c-MIR) (Membrane-associated RING finger protein 8) (Membrane-associated RING-CH protein VIII) (MARCH-VIII) (RING finger protein 178) (RING-type E3 ubiquitin transferase MARCHF8)	MARCHF8 MARCH8 MIR RNF178	Homo sapiens (Human)	291
MARH9_HUMAN	Q86YJ5	MARH9_HUMAN	reviewed	E3 ubiquitin-protein ligase MARCHF9 (EC 2.3.2.27) (Membrane-associated RING finger protein 9) (Membrane-associated RING-CH protein IX) (MARCH-IX) (RING finger protein 179) (RING-type E3 ubiquitin transferase MARCHF9)	MARCHF9 MARCH9 RNF179	Homo sapiens (Human)	346
